], seq 210488:210832, ack 109, win 333, length 344
17:59:29.774774 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 218744:218916, ack 145, win 333, length 172
17:59:29.774876 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 218916:219088, ack 145, win 333, length 172
17:59:29.774977 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 219088:219260, ack 145, win 333, length 172
17:59:29.775079 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 219260:219432, ack 145, win 333, length 172
17:59:29.775179 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 219432:219604, ack 145, win 333, length 172
17:59:29.775281 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 219604:219776, ack 145, win 333, length 172
17:59:29.775383 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 219776:219948, ack 145, win 333, length 172
17:59:29.775485 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 219948:220120, ack 145, win 333, length 172
17:59:29.775586 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 220120:220292, ack 145, win 333, length 172
17:59:29.775688 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 220292:220464, ack 145, win 333, length 172
17:59:29.775790 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 220464:220636, ack 145, win 333, length 172
17:59:29.775893 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 220636:220808, ack 145, win 333, length 172
17:59:29.775996 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 220808:220980, ack 145, win 333, length 172
17:59:29.776098 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 220980:221152, ack 145, win 333, length 172
17:59:29.776199 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 221152:221324, ack 145, win 333, length 172
17:59:29.776302 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 221324:221496, ack 145, win 333, length 172
17:59:29.776431 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 221496:221668, ack 145, win 333, length 172
17:59:29.776539 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 221668:221840, ack 145, win 333, length 172
17:59:29.776643 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 221840:222012, ack 145, win 333, length 172
17:59:29.776746 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 222012:222184, ack 145, win 333, length 172
17:59:29.776848 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 222184:222356, ack 145, win 333, length 172
17:59:29.776953 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 222356:222528, ack 145, win 333, length 172
17:59:29.777056 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 222528:222700, ack 145, win 333, length 172
17:59:29.777158 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 222700:222872, ack 145, win 333, length 172
17:59:29.777261 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 222872:223044, ack 145, win 333, length 172
17:59:29.777363 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 223044:223216, ack 145, win 333, length 172
17:59:29.777502 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 223216:223388, ack 145, win 333, length 172
17:59:29.777610 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 223388:223560, ack 145, win 333, length 172
17:59:29.777714 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 223560:223732, ack 145, win 333, length 172
17:59:29.777815 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 223732:223904, ack 145, win 333, length 172
17:59:29.777917 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 223904:224076, ack 145, win 333, length 172
17:59:29.778020 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 224076:224248, ack 145, win 333, length 172
17:59:29.778121 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 224248:224420, ack 145, win 333, length 172
17:59:29.778224 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 224420:224592, ack 145, win 333, length 172
17:59:29.778325 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 224592:224764, ack 145, win 333, length 172
17:59:29.778427 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 224764:224936, ack 145, win 333, length 172
17:59:29.778530 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 224936:225108, ack 145, win 333, length 172
17:59:29.778636 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 225108:225280, ack 145, win 333, length 172
17:59:29.778740 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 225280:225452, ack 145, win 333, length 172
17:59:29.781950 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 218916, win 512, length 0
17:59:29.781991 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 225452:225624, ack 145, win 333, length 172
17:59:29.782092 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 223216, win 512, length 0
17:59:29.782233 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 225624:226020, ack 145, win 333, length 396
17:59:29.782350 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 226020:226192, ack 145, win 333, length 172
17:59:29.782454 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 226192:226364, ack 145, win 333, length 172
17:59:29.782560 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 226364:226536, ack 145, win 333, length 172
17:59:29.782664 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 226536:226708, ack 145, win 333, length 172
17:59:29.782766 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 226708:226880, ack 145, win 333, length 172
17:59:29.782867 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 226880:227052, ack 145, win 333, length 172
17:59:29.782970 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 227052:227224, ack 145, win 333, length 172
17:59:29.783073 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 227224:227396, ack 145, win 333, length 172
17:59:29.783175 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 227396:227568, ack 145, win 333, length 172
17:59:29.783280 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 227568:227740, ack 145, win 333, length 172
17:59:29.783383 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 227740:227912, ack 145, win 333, length 172
17:59:29.783485 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 227912:228084, ack 145, win 333, length 172
17:59:29.783641 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 228084:228256, ack 145, win 333, length 172
17:59:29.784162 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 228256:228428, ack 145, win 333, length 172
17:59:29.784283 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 228428:228600, ack 145, win 333, length 172
17:59:29.784390 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 225452, win 512, length 0
17:59:29.784511 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 228600:228884, ack 145, win 333, length 284
17:59:29.784624 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 228884:229056, ack 145, win 333, length 172
17:59:29.784728 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 229056:229228, ack 145, win 333, length 172
17:59:29.784834 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 229228:229400, ack 145, win 333, length 172
17:59:29.784938 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 229400:229572, ack 145, win 333, length 172
17:59:29.785040 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 229572:229744, ack 145, win 333, length 172
17:59:29.785143 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 229744:229916, ack 145, win 333, length 172
17:59:29.785245 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 229916:230088, ack 145, win 333, length 172
17:59:29.785348 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 230088:230260, ack 145, win 333, length 172
17:59:29.785485 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 230260:230432, ack 145, win 333, length 172
17:59:29.785594 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 230432:230604, ack 145, win 333, length 172
17:59:29.785698 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 230604:230776, ack 145, win 333, length 172
17:59:29.785802 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 230776:230948, ack 145, win 333, length 172
17:59:29.785904 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 230948:231120, ack 145, win 333, length 172
17:59:29.786136 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 228256, win 512, length 0
17:59:29.786153 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 231120:231292, ack 145, win 333, length 172
17:59:29.786296 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 231292:231576, ack 145, win 333, length 284
17:59:29.786403 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 231576:231748, ack 145, win 333, length 172
17:59:29.786506 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 231748:231920, ack 145, win 333, length 172
17:59:29.786608 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 231920:232092, ack 145, win 333, length 172
17:59:29.786730 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 232092:232264, ack 145, win 333, length 172
17:59:29.786836 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 232264:232436, ack 145, win 333, length 172
17:59:29.786939 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 232436:232608, ack 145, win 333, length 172
17:59:29.787041 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 232608:232780, ack 145, win 333, length 172
17:59:29.787143 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 232780:232952, ack 145, win 333, length 172
17:59:29.787245 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 232952:233124, ack 145, win 333, length 172
17:59:29.787353 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 233124:233296, ack 145, win 333, length 172
17:59:29.787455 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 233296:233468, ack 145, win 333, length 172
17:59:29.787558 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 233468:233640, ack 145, win 333, length 172
17:59:29.787659 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 233640:233812, ack 145, win 333, length 172
17:59:29.787760 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 233812:233984, ack 145, win 333, length 172
17:59:29.787867 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 233984:234156, ack 145, win 333, length 172
17:59:29.787947 IP 198.96.84.204.20132 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 231120, win 512, length 0
17:59:29.788056 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 234156:234440, ack 145, win 333, length 284
17:59:29.788164 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 234440:234612, ack 145, win 333, length 172
17:59:29.788267 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 234612:234784, ack 145, win 333, length 172
17:59:29.788392 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 234784:234956, ack 145, win 333, length 172
17:59:29.788497 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 234956:235128, ack 145, win 333, length 172
17:59:29.788600 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 235128:235300, ack 145, win 333, length 172
17:59:29.788702 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 235300:235472, ack 145, win 333, length 172
17:59:29.788803 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 235472:235644, ack 145, win 333, length 172
17:59:29.788906 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 235644:235816, ack 145, win 333, length 172
17:59:29.789008 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 235816:235988, ack 145, win 333, length 172
17:59:29.789109 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 235988:236160, ack 145, win 333, length 172
17:59:29.789211 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 236160:236332, ack 145, win 333, length 172
17:59:29.789312 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 236332:236504, ack 145, win 333, length 172
17:59:29.789443 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 236504:236676, ack 145, win 333, length 172
17:59:29.789551 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 236676:236848, ack 145, win 333, length 172
17:59:29.789654 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 236848:237020, ack 145, win 333, length 172
17:59:29.789756 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 237020:237192, ack 145, win 333, length 172
17:59:29.789868 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 237192:237364, ack 145, win 333, length 172
17:59:29.789975 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 237364:237536, ack 145, win 333, length 172
17:59:29.790085 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 237536:237708, ack 145, win 333, length 172
17:59:29.790190 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 237708:237880, ack 145, win 333, length 172
17:59:29.790292 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 237880:238052, ack 145, win 333, length 172
17:59:29.790395 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 238052:238224, ack 145, win 333, length 172
17:59:29.790497 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 238224:238396, ack 145, win 333, length 172
17:59:29.790604 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 238396:238568, ack 145, win 333, length 172
17:59:29.790706 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 238568:238740, ack 145, win 333, length 172
17:59:29.790809 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 238740:238912, ack 145, win 333, length 172
17:59:29.790912 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 238912:239084, ack 145, win 333, length 172
17:59:29.791017 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 239084:239256, ack 145, win 333, length 172
17:59:29.791120 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 239256:239428, ack 145, win 333, length 172
17:59:29.791222 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 239428:239600, ack 145, win 333, length 172
17:59:29.791326 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 239600:239772, ack 145, win 333, length 172
17:59:29.791429 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 239772:239944, ack 145, win 333, length 172
17:59:29.791532 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 239944:240116, ack 145, win 333, length 172
17:59:29.791635 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 240116:240288, ack 145, win 333, length 172
17:59:29.791738 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 240288:240460, ack 145, win 333, length 172
17:59:29.791840 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 240460:240632, ack 145, win 333, length 172
17:59:29.791942 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 240632:240804, ack 145, win 333, length 172
17:59:29.792045 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 240804:240976, ack 145, win 333, length 172
17:59:29.792147 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.84.204.20132: Flags [P.], seq 240976:241148, ack 145, win 333, length 172
